ID,DateTimeStart,What,Where,Trig,Duration,S-P (s),FirstStation,RecordedOn,ROD__,FPS,TimeRef,M,Conf,Comments,,,,,,,,,,,,,,,,,,,,,
,2020-09-07 02:15:00.0,2 VTs,,,,,,most,,,,,,Originaly ID'd as a rockfall,,,,,,,,,,,,,,,,,,,,,
,2020-09-08 08:06:00.0,Rockfall,,,,,,most,,,,,,"LP signal at MBRY before, also MBFL maybe - prob noise",,,,,,,,,,,,,,,,,,,,,
,2020-09-11 10:21:00.0,,,,,,,most,,,,,,small LF signal - not seen regionally - many such signals didn't trigger,,,,,,,,,,,,,,,,,,,,,
,2020-09-11 10:31:00.0,,,,,,,most,,,,,,small LF signal - not seen regionally - many such signals didn't trigger,,,,,,,,,,,,,,,,,,,,,
,2020-09-17 08:40:00.0,Lahar/lightning,,,100m,,,close,,,,,,heavy rainfall,,,,,,,,,,,,,,,,,,,,,
,2020-09-17 11:06:00.0,VT,,,,,,most,,,,,,Seems higher freq than usual,,,,,,,,,,,,,,,,,,,,,
,2020-09-21 14:27:00.0,,,,,,,most,,,,,,strange looking small event,,,,,,,,,,,,,,,,,,,,,
,2020-09-22 20:50:00.0,Lahar,,,40m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200925-0847,2020-09-25 08:47:41.3,Rockfall,,Y,70s,,MSS1,most,y,,,,,multiple rockfalls,,,,,,,,,,,,,,,,,,,,,
,2020-10-02 15:00:00.0,Lahar,,,60m,,,"MSS1,MBHA",,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-10-04 20:00:00.0,VT or rockfall swarm,,,420m,,,MSS1,,,,,,similar to 1 Sep 2021,,,,,,,,,,,,,,,,,,,,,
20201005-0211,2020-10-05 02:11:13.4,Rockfall,,Y,70s,,,most,y,,,,,"Large rockfall, occurred near end of swarm of  rockfalls",,,,,,,,,,,,,,,,,,,,,
,2020-10-05 11:10:00.0,Lahar,,,30m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011-1738,2020-10-11 17:38:57.7,Rockfall,,N,60s,,MSS1,"MSS1,MBLY,MBRY,MBWH",y,,,,,longer rockfall than normally seen,,,,,,,,,,,,,,,,,,,,,
,2020-10-20 13:08:00.0,noise,,,,,,MBGH+,,,,,,RN helicopter landing at SGH,,,,,,,,,,,,,,,,,,,,,
,2020-10-20 13:37:00.0,Rockfall or LP,,,,,,All,,,,,,didn't trigger earthworm.  CHECK,,,,,,,,,,,,,,,,,,,,,
20201103-0244,2020-11-03 02:44:50.6,VT,,Y,,,,,y,,,,,"Not in usual location, first arrival at MBRY",,,,,,,,,,,,,,,,,,,,,
,2020-11-04 04:21:00.0,Distal rockfall,,,,,,few,,,,,,Rockfall? First arrival at MBBY,,,,,,,,,,,,,,,,,,,,,
20201108-0342,2020-11-08 03:42:05.3,Swell noise event,,N,,,MBHA,most,y,,,,,Originally classified as LP or RF,,,,,,,,,,,,,,,,,,,,,
20201109-1015,2020-11-09 10:15:00.0,Lahar,,,,,,"MSS1, MBLY",,,,,,"shows event near start, rockfall?",,,,,,,,,,,,,,,,,,,,,
,2020-11-09 22:50:00.0,Lahars,,,,,,All,,,,,,very heavy rainfall,,,,,,,,,,,,,,,,,,,,,
20201110-0009,2020-11-10 00:09:23.7,Rockfall,,N,,,MBLY,"MBLY,MSS1,MBWH,MBBY,MBGH,MBHA",y,,,,,,,,,,,,,,,,,,,,,,,,,,
20201110-0155,2020-11-10 01:55:17.3,Rockfall,,Y,22s,,MBLY,Most,y,,,,,Has LF start,,,,,,,,,,,,,,,,,,,,,
20201110-1404,2020-11-10 14:04:54.6,Rockfall,,Y,,,MBLY,Most,y,,,,,Has LF start,,,,,,,,,,,,,,,,,,,,,
,2020-11-15 17:50:00.0,Local,,Y,,,,Most,y,,,,,Originally classed as RF,,,,,,,,,,,,,,,,,,,,,
,2020-11-24 14:25:00.0,Helicopter?,,,,,,MBSS1/MBLY/MBHA,,,,,,"Can see doppler effect in sgram, but implies 110 mph for 20 Hz signal. Adam heard two aircraft. Control tower said two helicopters.",,,,,,,,,,,,,,,,,,,,,
,2020-11-27 22:01:00.0,Rockfall,,,,,,"MSS1, MBLY",,,,,,double rockfall,,,,,,,,,,,,,,,,,,,,,
,2020-12-04 06:23:00.0,VT,,,,,,all,,,,,,where is this deep? Or non-VT,,,,,,,,,,,,,,,,,,,,,
,2020-12-06 00:11:31.0,Regional,,,,,,most,,,,,,"earthworm triggered on S wave, so I thought it was an LP at first.",,,,,,,,,,,,,,,,,,,,,
,2021-01-03 11:08:00.0,Rockfall,,,,,,"MSS1, MBLY",,,,,,prolonged tail.,,,,,,,,,,,,,,,,,,,,,
,2021-01-07 06:26:00.0,Rockfall,,,,,,"MSS1, MBLY +",,,,,,prolonged tail.,,,,,,,,,,,,,,,,,,,,,
,2021-01-15 19:48:00.0,Distal VT,Offshore E,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-01-24 17:00:00.0,VT,,,,,,MSS1,,,,,,small swarm lasting 4 hours,,,,,,,,,,,,,,,,,,,,,
20210125-0125,2021-01-25 01:25:42.8,Local,Offshore E,Y,,,MBHA,All,y,,,,,Suitable for Q experiment,,,,,,,,,,,,,,,,,,,,,
,2021-01-25 02:10:00.0,Distal VT,Offshore E,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-01-30 00:00:00.0,,,,,,,,,,,,,"LPs? , look like previous wave-generated noise seen in past",,,,,,,,,,,,,,,,,,,,,
,2021-02-08 22:30:00.0,Lahar,,,,,,MSS1,,,,,,Includes event near end -looks like VT but no good onset,,,,,,,,,,,,,,,,,,,,,
20210220-2109,2021-02-20 21:09:08.1,VT,,Y,,,MSS1,All,y,,otime,3.8,,Recorded on regional stations.,,,,,,,,,,,,,,,,,,,,,
20210408-2234,2021-04-08 22:34:13.4,Distal VT,Offshore N,Y,,4.2,MBFL,All,y,,,,,Part of string.,,,,,,,,,,,,,,,,,,,,,
20210408-2237,2021-04-08 22:37:13.2,Distal VT,Offshore N,Y,,,MBFL,All,y,,,,,Part of string.,,,,,,,,,,,,,,,,,,,,,
20210408-2238,2021-04-08 22:38:38.7,Distal VT,Offshore N,Y,,,MBFL,,y,,,,,Part of string.,,,,,,,,,,,,,,,,,,,,,
20210409-0106,2021-04-09 01:06:25.5,Distal VT,Offshore N,Y,,4.2,MBFL,All,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-06-25 12:38:00.0,VT double,,,,,,Most,,,,,,Not sure if this is a VT,,,,,,,,,,,,,,,,,,,,,
,2021-07-07 19:46:00.0,VT,,,,,,All,,,,,,first arrival at MBLY,,,,,,,,,,,,,,,,,,,,,
,2021-07-11 06:21:00.0,Lightning,,,,,,Most,,,,,,triggered 6 events,,,,,,,,,,,,,,,,,,,,,
,2021-07-12 15:15:58.0,Local,,,,,,All,,,,,,North of SHV. First arrival at MBFL. S-P is 1.3-1.5 seconds.,,,,,,,,,,,,,,,,,,,,,
,2021-07-14 02:40:00.0,Regional,,,,,,All,,,,,,"Trigger was on S waves, so didn’t see P and thought it was nearby.",,,,,,,,,,,,,,,,,,,,,
,2021-07-17 18:32:00.0,Regional,,,,,,All,,,,,,"Trigger was on S waves, so didn’t see P and thought it was nearby.",,,,,,,,,,,,,,,,,,,,,
,2021-07-27 03:28:00.0,Regional,,,,,,All,,,,,,"Trigger was on S waves, so didn’t see P and thought it was nearby.",,,,,,,,,,,,,,,,,,,,,
20210730-2123,2021-07-30 21:23:10.2,Distal VT,Offshore E,Y,,2.6,MSS1,All,y,,,,,Suitable for Q experiment. ,,,,,,,,,,,,,,,,,,,,,
,2021-08-03 15:13:00.0,Distal VT,,,,,,All,,,,,,"North of SHV, first arrival at MBFL, then MBGB",,,,,,,,,,,,,,,,,,,,,
,2021-08-05 12:36:00.0,Distal VT,,,,,,All,,,,,,"North of SHV, first arrival at MBFL, then MBGB",,,,,,,,,,,,,,,,,,,,,
,2021-08-11 00:40:00.0,Lightning,,,,,,All,,,,,,Triggers on lightning,,,,,,,,,,,,,,,,,,,,,
,2021-08-18 17:53:00.0,Rockfalls,,,,,,"MBLY, MBLG",,,,,,Long drawn-out HF rockfalls or VTs after string,,,,,,,,,,,,,,,,,,,,,
,2021-08-21 10:40:00.0,Distal VT,,,,,,All,,,,,,North of SHV. First arrival at MBFL. LP peaks below 1 Hz.,,,,,,,,,,,,,,,,,,,,,
20210822-0036,2021-08-22 00:36:16.2,LP,,,,,,All,y,,,,,Peak 3-4 Hz,,,,,,,,,,,,,,,,,,,,,
,2021-08-24 07:27:28.0,VT/rockfalls,,,,,,All,,,,,,VT string with rockfalls in it,,,,,,,,,,,,,,,,,,,,,
20210824-0414,2021-08-24 04:14:34.7,LP,,Y,,,MBLY,"MBLY,MBLG,MBGH",y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-08-24 11:00:00.0,VT,,,,,,"MBLY, MBLG",,,,,,"Start of very small VT activity, ended after a string.",,,,,,,,,,,,,,,,,,,,,
,2021-08-27 15:06:00.0,Rockfalls,,,,,MSS1,,,,,,,About 20 hours of small rockfalls,,,,,,,,,,,,,,,,,,,,,
,2021-08-27 17:54:00.0,Distal VT,,,,,,Most,,,,,,North of SHV. First arrival at MBFL. S-P is 1.0-1.5 seconds.,,,,,,,,,,,,,,,,,,,,,
,2021-08-27 18:01:00.0,Distal VT,,,,,,Most,,,,,,North of SHV. First arrival at MBFL. S-P is 1.0-1.5 seconds.,,,,,,,,,,,,,,,,,,,,,
,2021-08-29 12:00:00.0,Noise,,,,,,"MSS1, MBLG, MBLY",,,,,,Noise increases markedly from 12:00 UTC onwards. Peak 2-3 Hz. Probably associated with change in wind direction (coming from N).,,,,,,,,,,,,,,,,,,,,,
,2021-08-30 15:00:00.0,Lahars,,,,,,"MSS1, MBLY, MBLG",,,,,,,,,,,,,,,,,,,,,,,,,,,
20210831-1701,2021-08-31 17:01:49.0,Rockfall,,Y,50s,,,Most,y,,,,,OR explosion. Visibility of front half of dome was excellent. No visible rockfall activity or ash. Starts small,,,,,,,,,,,,,,,,,,,,,
,2021-09-03 09:35:00.0,Distal VT,,,,,,Most,,,,,,"North of SHV, first arrival at MBFL.",,,,,,,,,,,,,,,,,,,,,
,2021-09-03 18:22:32.6,Rockfall,,N,30s,,MSS1,"MSS1,MBLG",y,,,,,Small rockfall 2 minutes after large VT,,,,,,,,,,,,,,,,,,,,,
,2021-09-06 08:45:00.0,Lightning,,,10m,,,Most,,,,,,Several lightning strikes,,,,,,,,,,,,,,,,,,,,,
,2021-09-06 00:00:00.0,Noise,,,31h,,,Most,,,,,,"LP-like events, occassionaly triggering system",,,,,,,,,,,,,,,,,,,,,
,2021-09-07 00:40:00.0,Lightning,,,10m,,,Most,,,,,,Several lightning strikes,,,,,,,,,,,,,,,,,,,,,
,2021-09-07 05:22:00.0,Rockfall,,,,,,"MSS1, MBLY",,,,,,"Big at MSS1, inside scar",,,,,,,,,,,,,,,,,,,,,
,2021-09-07 19:05:00.0,Rockfalls,,,,,,"MSS1, MBLY",,,,,,"Two rockfalls in 20 minutes. Bigger at MSS1, inside scar",,,,,,,,,,,,,,,,,,,,,
,2021-09-08 22:00:00.0,VT swarmette,,,12h,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210909-1203,2021-09-09 12:03:29.4,Distal VT,Irish Ghaut,,,,,Most,y,,,,,First arrival at MBLG. S-P 0.8 seconds,,,,,,,,,,,,,,,,,,,,,
,2021-09-09 18:42:00.0,Distal VT,,,,,,Most,,,,,,First arrival at MBFL. Quite low frequency. S-P 0.7 seconds,,,,,,,,,,,,,,,,,,,,,
,2021-09-10 13:30:00.0,Helicopter,,,,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-10 15:14:00.0,Local,,,,,,All,,,,,,"Strangely HF P and LF S and ANWB, only really see S on MVO network",,,,,,,,,,,,,,,,,,,,,
,2021-09-10 15:20:00.0,Helicopter,,,,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
